Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
565027,Egyptian Art,"Linen, from Wah's Mummy","Linen, from Wah's Mummy",Unknown,Unknown,,,Linen,"Rogers Fund and Edward S. Harkness Gift, 1920",Egypt
623826,Drawings and Prints,Print,Discover Dry Dock Country: Madison Avenue between 63rd and 65th,Unknown,American,1972,1972.0,Commercial printing in color,"Gift of Dry Dock Savings Bank, 1973",Unknown
625312,Drawings and Prints,Print,"St. Agatha, from 'Di Tutti gli Affresco del Correggio e di Quattro del Parmigianino'",Unknown,Italian|Italian|Italian|Italian|Italian,1841,1851.0,Engraving,"Gift of Lucy Chauncey, in memory of her father, Henry Chauncey, 1935",Unknown
632372,Drawings and Prints,Photograph,"Walter Switzer, Cornell Quarterback shown being grounded by three Columbia Players, from the ""Baseball and Football"" set (R311), issued by the National Chicle Company to promote Diamond Stars Gum",Unknown,Unknown,1936,1936.0,Albumen print (glossy finish),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
634357,Drawings and Prints,Print,"The Virgin and Child with St. John the Baptist, St. Francis, and St. Catherine of Siena",Unknown,Italian|Italian|German,1585,1585.0,Chiaroscuro woodcut from four blocks printed in orange,"Rogers Fund, 1922",Unknown
634643,Drawings and Prints,"Print, baseball card","Card Number 28, Harry ""The Cat"" Brecheen, Pitcher, St. Louis Cardinals, from the Topps Red/ Blue Backs series (R414-5) issued by Topps Chewing Gum Company",Unknown,American,1951,1951.0,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
638012,Drawings and Prints,Print,"Card No. 145, U.S. Luscombe ""Silvaire,"" from the Aviation Gum series (V356), issued by World Wide Gum Company, Ltd.",Unknown,Canadian,1940,1940.0,Photolithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
638616,Photographs,Photograph,Officer Gordon F. Wilson Shows Mug Pictures to a Woman,Unknown,American,1970,1970.0,Gelatin silver print,"Anonymous Gift, 2014",Unknown
642712,Drawings and Prints,"Baseball card, print","Card Number 22, Jim Greengrass, Outfield, Cincinnati Redlegs, from ""1954 Topps Regular Issue"" series (R414-8), issued by Topps Chewing Gum Company.",Unknown,American,1954,1954.0,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
646748,Drawings and Prints,Print,"Mary, Queen of Scots at the execution block (from The History of England)",Unknown,"Scottish|British|British, Scottish|British|British",1795,1795.0,Etching and engraving,"Gift of Susan Dwight Bliss, 1958",Unknown
650909,Drawings and Prints,Print,Happy Easter (Frohe Ostern),Unknown,Austrian,1912,1912.0,Color lithograph,"Museum Accession, transferred from the Library",Unknown
651579,Drawings and Prints,Print,"Portrait, bust-length, with bow",Unknown,"American, born Russia",1900,1900.0,Drypoint,"Gift of Mr. and Mrs. Meyer Schapiro, 1983",Unknown
651818,Photographs,Photograph,"Stripper with bare breasts sitting in her dressing room, Atlantic City, N.J.",Unknown,American,1961,1961.0,Gelatin silver print,"Purchase, Jade Lau Gift, 2015",Unknown
655098,Drawings and Prints,Photograph,"Virginia Hurned, from the Actresses series (N245) issued by Kinney Brothers to promote Sweet Caporal Cigarettes",Unknown,American,1890,1890.0,Albumen photograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
656878,Modern and Contemporary Art,Unknown,"New York City 2[unfinished, formerly New York City III]",Unknown,Unknown,1941,1941.0,Oil and tape on canvas,"San Francisco Museum of Modern Art, Purchase through a gift of Phyllis Wattis",USA
656909,Drawings and Prints,Print,The woodcutter,Unknown,Mexican,1921,1931.0,Woodcut,"Gift of Carl Zigrosser, 1930",Unknown
660182,Drawings and Prints,Books Prints Ornament & Architecture,"Ornamento delle belle & virtuose donne, page 8 (verso)",Unknown,Italian|British,1554,1554.0,Woodcut,"Rogers Fund, 1921",Unknown
666262,Drawings and Prints,Print,"Souvenir of New York with Manhattan from West Hoboken, New Jersey",Unknown,German|American|American|American,1851,1851.0,Hand-colored lithograph with tint stone,"The Edward W. C. Arnold Collection of New York Prints, Maps and Pictures, Bequest of Edward W. C. Arnold, 1954",Unknown
670640,Photographs,Photograph; Photomicrograph,[Snow Crystal],Unknown,American,1890,1929.0,Gelatin silver print,"Purchase, Alfred Stieglitz Society Gifts, 2015",Unknown
679516,Photographs,Album,[Album],Unknown,Unknown,1860,1879.0,Unknown,"Gift of Eva Kasiska, 1947",Unknown
683016,Drawings and Prints,Print,"Scene 14, from Jack and the Giant Killer, Scenes for a Toy Theater",Unknown,Unknown,1870,1890.0,Lithograph,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1952",Unknown
684096,Drawings and Prints,Print,"The Boston Tea Party, bakery card from the Frontiers of Freedom series (D39-4), issued by the Gordon Bread Company",Unknown,Unknown,1940,1949.0,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
684443,Drawings and Prints,Print,"Honduras, bakery card from the Flags series (D34), issued by the Ward-Mackey Company",Unknown,Unknown,1900,1935.0,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
693616,Greek and Roman Art,Kylix fragment,Terracotta rim fragment of a kylix (drinking cup),"Greek, Attic",Unknown,,,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",Unknown
695260,Medieval Art,Fragment,Fragment,European or Middle Eastern,Unknown,1125,1275.0,"Glass, ceramic","Gift of Clarence H. Mackay, Archer M. Huntington, Stephen H. P. Pell and Bashford Dean, 1928",Unknown
701306,Drawings and Prints,Print,"Frederick II The Great, King of Prussia (1712–1786)",Unknown,Unknown,1782,1782.0,Etching and stipple,"Harris Brisbane Dick Fund, 1917",Unknown
702996,Photographs,Photograph,Desert near Alexandria,Unknown,Unknown,1842,1842.0,Daguerreotype,"Purchase, Philippe de Montebello Fund, Mr. and Mrs. John A. Moran Gift, in memory of Louise Chisholm Moran, Joyce F. Menschel and Annette de la Renta Gifts, and funds from various donors, 2016 (2016.97)",Unknown
703467,Greek and Roman Art,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",Unknown,,,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",Unknown
705128,Drawings and Prints,"Baseball card, print","Jo-Jo White, from the Goudey Wide Pen Premiums series (R314) issued by the Goudey Gum Company",Unknown,Unknown,1936,1936.0,Photolithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
705189,Drawings and Prints,"Baseball card, print","""Cy"" Blanton, from the National Chicle Fine Pen Premiums series (R313) issued by the National Chicle Gum Company",Unknown,Unknown,1936,1936.0,Photolithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
708376,Drawings and Prints,"Baseball card, print","Album 324, Page 86",Unknown,Unknown,1936,1936.0,Commercial Lithographs,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
709728,Greek and Roman Art,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",Unknown,,,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",Unknown
727173,Drawings and Prints,Print,"Silenus being carried by Satyrs, after Mantegna",Unknown,Unknown,1530,1550.0,Engraving,"Harris Brisbane Dick Fund, 1917",Unknown
727686,Drawings and Prints,Drawing,Coupé/Brougham #3887,Unknown,Unknown,1884,1884.0,Graphite and red crayon  on wove paper with perforated linen tape adhered to left edge for binding,"Gift of William Brewster, 1923",Unknown
728103,Drawings and Prints,Prints Ornament & Architecture,Ancient Temple,Unknown,Unknown,1545,1545.0,Etching,"Harris Brisbane Dick Fund, 1947",Unknown
728820,Greek and Roman Art,Column-krater fragment,Terracotta fragment of a column-krater (bowl for mixing wine and water),"Greek, Attic",Unknown,,,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",Unknown
729600,Drawings and Prints,Print,An indulgence with an image of Our Lord of Chalma,Unknown,Unknown,1895,1905.0,Photo-relief and letterpress on buff paper,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1946",Unknown
729779,Drawings and Prints,Print,"Card 44, John Morrissey, from the Prizefighters series (N269) issued by P. Lorillard Company to promote Mechanics Delight Long Cut Tobacco",Unknown,Unknown,1887,1887.0,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
732391,Photographs,Ephemera,"[Rusted Metal Sign: ""Slow, Children""]",Unknown,Unknown,1960,1975.0,Painted metal,"Walker Evans Archive, 1994",Unknown
733407,Greek and Roman Art,Oinochoe fragment,Terracotta fragment of an oinochoe (jug),"Greek, Attic",Unknown,,,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",Unknown
736330,Drawings and Prints,Print,The Historian Animating The Mind of A Young Painter,Unknown,Unknown,1784,1784.0,Hand-colored etching,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",Unknown
738416,Drawings and Prints,Book Print Ornament & Architecture,"Robes Modèles Historiques, Viennoise",Unknown,Unknown,1800,1900.0,Design: Lithography,"Harris Brisbane Dick Fund, 1932",Unknown
740176,Greek and Roman Art,Skyphos fragment,Terracotta fragment of a skyphos (deep drinking cup),"Greek, Attic",Unknown,,,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",Unknown
751829,Drawings and Prints,"Print, baseball","Silas K. Johnson, Cincinnati Reds, from the Baseball Players Match Cover design series (U1) issued by Diamond Match Company",Unknown,Unknown,1934,1934.0,Printed matchbook,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
754604,Drawings and Prints,Print,"Thrifty villagers, satisfied watching the presentation from the outside, from 'A celebration in the neighboring village,' published in Le Petit Journal pour Rire, June 24, 1865",Unknown,Unknown,1865,1865.0,Lithograph on newsprint; third state of three (Delteil),"Harris Brisbane Dick Fund, 1936",Unknown
771069,European Sculpture and Decorative Arts,Vase,Vase with flowering branch motif (one of a pair),"British, Stoke-on-Trent, Staffordshire",Unknown,1872,1872.0,Bone china,"Gift of Helene Fortunoff and Robert Grossman, 2017",Unknown
777496,Ancient Near Eastern Art,Dish,Metal Dish,Unknown,Unknown,,,Iron,"Rogers Fund, 1936",Iran
778279,Drawings and Prints,"Baseball card, print","Card Number 164, Bob Owchinko, San Diego Padres",Unknown,Unknown,1978,1978.0,Commercial Color Lithograph,"Gift of George R. Goldner, in honor of Stewart Goldner, 2016",Unknown
779306,Drawings and Prints,Trade card,"Packard-Tourist, from the ""Antique Autos"" series (R701-1), issued by Bowman Gum Company",Unknown,Unknown,1953,1953.0,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
785013,Drawings and Prints,Print; ephemera,"Norwegian Air Force In Canada Patrol Bomber (Northrup N3PB), from the ""Modern Airplanes"" series (T87), issued with Wings Cigarettes by Brown and Williamson Tobacco Company",Unknown,Unknown,1942,1942.0,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
813925,Drawings and Prints,Print,Stonehenge,Unknown,Unknown,1979,1979.0,Sugar-lift aquatint with roulette,"Gift of Jerry S. Flum, 1980",Unknown
820618,Drawings and Prints,Print,"Psyche, holding the flask of beauty being transported by three putti",Unknown,Unknown,1525,1535.0,Engraving,"Bequest of Grace Pugh, 1985",Unknown
824428,Drawings and Prints,Print,Landscape and Cattle,Unknown,Unknown,1875,1885.0,Etching,"Gift of Henry Levien, 1967",Unknown
